Species X, Species Y, Species Z
0.99,1,1
0.980101493,0.999909665,0.999819337
0.970306081,0.999729935,0.999459936
0.960615244,0.999461787,0.998923846
0.951030339,0.999106237,0.998213233
0.941552606,0.998664331,0.997330374
0.932183168,0.998137151,0.996277653
0.922923036,0.997525806,0.995057553
0.91377311,0.996831437,0.993672652
0.904734185,0.996055206,0.992125613
0.89580695,0.995198306,0.990419185
0.886991996,0.994261947,0.988556191
0.878289815,0.993247363,0.986539525
0.869700808,0.992155806,0.984372147
0.861225282,0.990988546,0.982057076
0.852863459,0.989746867,0.979597384
0.844615476,0.988432068,0.976996192
0.83648139,0.98704546,0.974256663
0.828461181,0.985588365,0.971382001
0.820554755,0.984062115,0.968375438
0.812761946,0.982468046,0.96524024
0.805082522,0.980807505,0.96197969
0.797516185,0.97908184,0.958597094
0.790062579,0.977292405,0.955095769
0.782721287,0.975440555,0.951479045
0.775491837,0.973527645,0.947750254
0.768373707,0.971555032,0.943912732
0.761366323,0.96952407,0.939969811
0.754469067,0.96743611,0.935924818
0.747681276,0.9652925,0.93178107
0.741002247,0.963094585,0.92754187
0.734431238,0.960843701,0.923210507
0.727967472,0.958541182,0.918790248
0.721610139,0.95618835,0.914284341
0.715358396,0.953786522,0.909696005
0.709211375,0.951337005,0.905028436
0.703168178,0.948841097,0.900284796
0.697227887,0.946300084,0.895468218
0.691389558,0.943715243,0.890581799
0.685652229,0.94108784,0.8856286
0.680014921,0.938419125,0.880611643
0.674476637,0.93571034,0.875533911
0.669036365,0.932962711,0.870398346
0.663693083,0.930177451,0.865207846
0.658445756,0.92735576,0.859965266
0.65329334,0.924498822,0.854673414
0.648234783,0.921607809,0.849335052
0.643269026,0.918683874,0.843952895
0.638395006,0.915728158,0.83852961
0.633611654,0.912741786,0.833067814
0.6289179,0.909725866,0.827570073
0.624312671,0.906681491,0.822038907
0.619794897,0.903609737,0.81647678
0.615363503,0.900511664,0.810886108
0.611017421,0.897388316,0.805269255
0.606755582,0.894240721,0.799628533
0.602576921,0.89106989,0.793966202
0.598480379,0.887876815,0.788284471
0.5944649,0.884662475,0.782585495
0.590529433,0.881427831,0.776871381
0.586672936,0.878173826,0.771144181
0.582894373,0.874901387,0.765405896
0.579192714,0.871611425,0.759658476
0.575566939,0.868304835,0.753903822
0.572016036,0.864982492,0.748143782
0.568539001,0.861645259,0.742380154
0.565134841,0.858293979,0.736614686
0.561802573,0.854929481,0.730849079
0.558541222,0.851552577,0.725084983
0.555349828,0.848164061,0.719323999
0.552227436,0.844764715,0.713567683
0.549173108,0.841355301,0.707817541
0.546185914,0.837936567,0.702075034
0.543264935,0.834509248,0.696341576
0.540409267,0.831074059,0.690618537
0.537618016,0.827631702,0.684907242
0.534890299,0.824182864,0.679208972
0.532225249,0.820728218,0.673524963
0.529622007,0.817268419,0.667856412
0.52707973,0.813804111,0.662204472
0.524597585,0.810335921,0.656570255
0.522174753,0.806864464,0.650954833
0.519810428,0.80339034,0.645359238
0.517503816,0.799914134,0.639784466
0.515254135,0.796436419,0.63423147
0.513060617,0.792957753,0.628701171
0.510922506,0.789478684,0.623194449
0.508839058,0.785999742,0.617712152
0.506809543,0.782521449,0.612255091
0.504833243,0.779044311,0.606824043
0.502909452,0.775568823,0.601419751
0.501037477,0.772095468,0.596042928
0.499216636,0.768624717,0.590694252
0.497446263,0.765157027,0.585374371
0.495725699,0.761692846,0.580083903
0.494054301,0.75823261,0.574823437
0.492431436,0.754776743,0.56959353
0.490856485,0.751325659,0.564394714
0.489328838,0.747879759,0.559227493
