Species X,Species Y,Species Z
0.98999917,0.999899603,1.000399636
0.980096623,0.999702845,1.000695939
0.970293363,0.999410728,1.000889832
0.960590306,0.99902429,1.000982283
0.950988284,0.998544605,1.000974299
0.941488041,0.997972777,1.000866927
0.93209024,0.997309944,1.000661252
0.922795466,0.996557271,1.000358392
0.913604224,0.995715949,0.999959502
0.904516944,0.994787196,0.999465765
0.895533985,0.993772256,0.998878396
0.886655634,0.99267239,0.998198637
0.877882108,0.991488883,0.997427755
0.86921356,0.990223039,0.996567043
0.860650078,0.988876176,0.995617816
0.852191691,0.98744963,0.994581409
0.843838365,0.985944752,0.993459175
0.835590012,0.984362902,0.992252487
0.827446489,0.982705454,0.990962732
0.819407601,0.980973789,0.989591311
0.811473101,0.9791693,0.988139638
0.803642695,0.977293383,0.986609137
0.795916045,0.975347442,0.985001243
0.788292767,0.973332883,0.983317399
0.780772437,0.971251116,0.981559052
0.77335459,0.969103555,0.979727658
0.766038726,0.966891611,0.977824674
0.758824307,0.964616697,0.975851562
0.751710762,0.962280224,0.973809784
0.74469749,0.959883599,0.971700804
0.737783858,0.957428228,0.969526082
0.730969205,0.95491551,0.96728708
0.724252846,0.95234684,0.964985255
0.717634069,0.949723608,0.96262206
0.711112139,0.947047194,0.960198944
0.704686301,0.944318972,0.957717349
0.69835578,0.941540308,0.955178711
0.692119781,0.938712557,0.95258446
0.685977494,0.935837065,0.949936014
0.679928092,0.932915168,0.947234785
0.673970734,0.92994819,0.944482175
0.668104568,0.926937444,0.941679575
0.662328728,0.923884229,0.938828364
0.656642338,0.920789833,0.935929911
0.651044514,0.917655531,0.932985571
0.645534364,0.914482584,0.929996688
0.640110986,0.911272237,0.926964592
0.634773475,0.908025724,0.923890599
0.62952092,0.904744263,0.920776011
0.624352407,0.901429055,0.917622115
0.619267015,0.898081288,0.914430185
0.614263826,0.894702135,0.911201477
0.609341916,0.891292751,0.907937234
0.604500363,0.887854275,0.904638681
0.599738243,0.884387833,0.901307029
0.595054635,0.880894531,0.89794347
0.590448618,0.877375461,0.894549182
0.585919272,0.873831697,0.891125326
0.581465681,0.870264297,0.887673045
0.577086933,0.866674301,0.884193465
0.572782118,0.863062735,0.880687695
0.568550331,0.859430605,0.877156829
0.564390671,0.855778902,0.873601941
0.560302243,0.8521086,0.870024088
0.556284158,0.848420654,0.86642431
0.552335532,0.844716006,0.862803631
0.548455488,0.840995577,0.859163056
0.544643155,0.837260274,0.855503573
0.54089767,0.833510986,0.851826152
0.537218176,0.829748586,0.848131747
0.533603826,0.825973929,0.844421294
0.530053777,0.822187856,0.840695711
0.526567198,0.81839119,0.8369559
0.523143264,0.814584737,0.833202746
0.51978116,0.810769288,0.829437116
0.516480078,0.806945618,0.825659861
0.51323922,0.803114484,0.821871814
0.510057798,0.799276631,0.818073793
0.506935031,0.795432784,0.814266599
0.503870149,0.791583657,0.810451017
0.500862389,0.787729944,0.806627813
0.497911001,0.783872328,0.80279774
0.495015242,0.780011474,0.798961535
0.49217438,0.776148033,0.795119917
0.48938769,0.772282642,0.791273592
0.486654461,0.768415923,0.787423248
0.483973989,0.764548484,0.78356956
0.481345579,0.760680918,0.779713187
0.478768549,0.756813805,0.775854772
0.476242223,0.752947711,0.771994946
0.473765938,0.749083188,0.768134322
0.471339038,0.745220774,0.764273501
0.46896088,0.741360996,0.760413069
0.466630829,0.737504367,0.7565536
0.464348259,0.733651385,0.752695651
0.462112554,0.729802538,0.748839767
0.459923109,0.725958302,0.744986481
0.457779328,0.722119138,0.74113631
0.455680623,0.718285497,0.73728976
0.453626418,0.714457817,0.733447324
0.451616144,0.710636527,0.729609482
0.449649245,0.70682204,0.725776703
0.447725169,0.703014763,0.72194944
0.445843379,0.699215087,0.718128139
0.444003342,0.695423396,0.714313231
0.442204537,0.69164006,0.710505136
0.440446453,0.687865442,0.706704264
0.438728585,0.684099892,0.702911012
0.437050438,0.680343751,0.699125766
0.435411527,0.676597349,0.695348904
0.433811374,0.672861008,0.69158079
0.432249511,0.669135039,0.68782178
0.430725477,0.665419745,0.684072217
0.429238821,0.661715418,0.680332437
0.427789098,0.658022342,0.676602765
0.426375874,0.654340792,0.672883515
0.424998722,0.650671034,0.669174995
0.423657222,0.647013327,0.665477499
0.422350963,0.64336792,0.661791316
0.421079542,0.639735054,0.658116724
0.419842563,0.636114962,0.654453992
0.418639639,0.63250787,0.650803381
0.417470388,0.628913995,0.647165145
0.416334438,0.625333549,0.643539528
0.415231423,0.621766733,0.639926765
0.414160984,0.618213743,0.636327085
0.413122771,0.614674768,0.632740709
0.41211644,0.611149989,0.62916785
0.411141653,0.607639582,0.625608714
0.41019808,0.604143715,0.622063498
0.409285397,0.600662549,0.618532395
0.408403288,0.59719624,0.615015587
0.407551442,0.593744937,0.611513253
0.406729556,0.590308783,0.608025564
0.405937332,0.586887917,0.604552683
0.40517448,0.583482468,0.601094769
0.404440714,0.580092563,0.597651972
0.403735756,0.576718323,0.594224439
0.403059333,0.573359861,0.590812308
0.40241118,0.570017289,0.587415714
0.401791034,0.56669071,0.584034785
0.401198642,0.563380223,0.580669642
0.400633753,0.560085923,0.577320403
0.400096125,0.556807901,0.573987179
0.39958552,0.55354624,0.570670077
0.399101704,0.550301021,0.567369198
0.398644451,0.54707232,0.564084637
0.398213539,0.543860209,0.560816488
0.397808751,0.540664755,0.557564836
0.397429875,0.537486021,0.554329764
0.397076705,0.534324067,0.55111135
0.396749041,0.531178946,0.547909665
0.396446684,0.528050712,0.544724781
0.396169444,0.524939411,0.54155676
0.395917134,0.521845087,0.538405664
0.395689571,0.51876778,0.53527155
0.395486578,0.515707528,0.532154471
0.395307983,0.512664363,0.529054475
0.395153615,0.509638316,0.525971607
0.395023312,0.506629414,0.522905911
0.394916914,0.503637681,0.519857423
0.394834265,0.500663136,0.516826178
0.394775215,0.497705799,0.513812209
0.394739616,0.494765684,0.510815543
0.394727325,0.491842802,0.507836205
0.394738205,0.488937164,0.504874218
0.394772119,0.486048775,0.5019296
0.394828937,0.483177641,0.499002368
0.394908532,0.480323762,0.496092535
0.395010782,0.477487138,0.493200111
0.395135566,0.474667765,0.490325104
0.395282769,0.471865637,0.48746752
0.395452279,0.469080748,0.484627361
0.395643988,0.466313086,0.481804628
0.395857791,0.46356264,0.478999318
0.396093586,0.460829395,0.476211427
0.396351276,0.458113336,0.473440948
0.396630766,0.455414443,0.470687872
0.396931965,0.452732698,0.467952188
0.397254786,0.450068078,0.465233883
0.397599143,0.447420559,0.462532942
0.397964956,0.444790117,0.459849348
0.398352146,0.442176724,0.457183081
0.398760639,0.439580352,0.454534122
0.399190362,0.43700097,0.451902448
0.399641247,0.434438547,0.449288033
0.400113227,0.43189305,0.446690853
0.400606241,0.429364443,0.444110879
0.401120228,0.426852693,0.441548083
0.40165513,0.42435776,0.439002435
0.402210895,0.421879607,0.436473901
0.402787469,0.419418193,0.433962448
0.403384805,0.416973479,0.431468042
0.404002857,0.414545422,0.428990647
0.404641582,0.412133978,0.426530224
0.405300938,0.409739104,0.424086736
0.405980889,0.407360755,0.421660142
0.406681398,0.404998884,0.419250402
0.407402433,0.402653443,0.416857473
0.408143964,0.400324386,0.414481312
0.408905963,0.398011662,0.412121876
0.409688404,0.395715223,0.409779118
0.410491266,0.393435018,0.407452994
0.411314527,0.391170994,0.405143456
0.41215817,0.388923101,0.402850455
0.413022178,0.386691286,0.400573944
0.413906539,0.384475494,0.398313874
0.414811241,0.382275672,0.396070193
0.415736276,0.380091765,0.393842851
0.416681637,0.377923718,0.391631796
0.417647319,0.375771475,0.389436977
0.41863332,0.373634979,0.387258339
0.419639641,0.371514174,0.38509583
0.420666284,0.369409002,0.382949395
0.421713252,0.367319405,0.380818981
0.422780552,0.365245326,0.378704531
0.423868192,0.363186705,0.37660599
0.424976183,0.361143484,0.374523303
0.426104537,0.359115603,0.372456412
0.427253269,0.357103003,0.370405261
0.428422395,0.355105623,0.368369792
0.429611933,0.353123404,0.366349948
0.430821903,0.351156285,0.364345671
0.432052328,0.349204204,0.362356903
0.433303232,0.347267102,0.360383585
0.434574641,0.345344917,0.358425659
0.435866581,0.343437588,0.356483065
0.437179084,0.341545053,0.354555745
0.438512179,0.339667251,0.352643638
0.439865902,0.33780412,0.350746686
0.441240285,0.335955598,0.348864829
0.442635367,0.334121623,0.346998006
0.444051185,0.332302134,0.345146159
0.445487779,0.330497068,0.343309226
0.446945192,0.328706364,0.341487149
0.448423467,0.326929959,0.339679866
0.449922648,0.325167791,0.337887319
0.451442783,0.323419799,0.336109446
0.452983921,0.32168592,0.334346187
0.45454611,0.319966093,0.332597483
0.456129403,0.318260255,0.330863273
0.457733854,0.316568346,0.329143498
0.459359515,0.314890302,0.327438097
0.461006445,0.313226064,0.325747011
0.4626747,0.311575569,0.32407018
0.464364341,0.309938756,0.322407544
0.466075427,0.308315564,0.320759044
0.467808021,0.306705932,0.319124621
0.469562187,0.305109799,0.317504215
0.47133799,0.303527105,0.315897768
0.473135497,0.301957789,0.31430522
0.474954775,0.300401791,0.312726514
0.476795895,0.298859051,0.31116159
0.478658927,0.29732951,0.309610392
0.480543942,0.295813107,0.30807286
0.482451016,0.294309784,0.306548938
0.484380222,0.292819481,0.305038568
0.486331637,0.29134214,0.303541692
0.488305338,0.289877703,0.302058256
0.490301405,0.288426111,0.300588201
0.492319917,0.286987306,0.299131472
0.494360956,0.285561232,0.297688013
0.496424605,0.284147831,0.296257768
0.498510947,0.282747045,0.294840683
0.500620067,0.28135882,0.293436703
0.502752052,0.279983098,0.292045774
0.50490699,0.278619823,0.290667841
0.507084969,0.277268941,0.289302852
0.509286079,0.275930396,0.287950752
0.511510411,0.274604134,0.28661149
0.513758058,0.2732901,0.285285012
0.516029112,0.271988241,0.283971268
0.518323668,0.270698503,0.282670206
0.520641822,0.269420833,0.281381774
0.52298367,0.268155179,0.280105923
0.52534931,0.266901488,0.278842602
0.52773884,0.265659709,0.277591761
0.530152361,0.264429791,0.276353353
0.532589972,0.263211682,0.275127328
0.535051777,0.262005333,0.273913638
0.537537877,0.260810694,0.272712236
0.540048376,0.259627714,0.271523075
0.54258338,0.258456347,0.270346108
0.545142992,0.257296542,0.26918129
0.547727321,0.256148252,0.268028576
0.550336474,0.25501143,0.266887919
0.552970558,0.25388603,0.265759278
0.555629683,0.252772003,0.264642607
0.55831396,0.251669306,0.263537864
0.561023498,0.250577892,0.262445006
0.56375841,0.249497717,0.261363993
0.566518808,0.248428736,0.260294782
0.569304805,0.247370906,0.259237332
0.572116515,0.246324185,0.258191605
0.574954054,0.245288529,0.257157561
0.577817536,0.244263896,0.256135161
0.580707078,0.243250246,0.255124368
0.583622797,0.242247537,0.254125144
0.586564809,0.24125573,0.253137452
0.589533234,0.240274784,0.252161256
0.59252819,0.239304661,0.251196522
0.595549796,0.238345323,0.250243215
0.598598173,0.237396731,0.249301301
0.60167344,0.23645885,0.248370747
0.604775719,0.235531641,0.247451521
0.607905131,0.234615071,0.24654359
0.611061798,0.233709102,0.245646925
0.614245844,0.232813702,0.244761495
0.617457389,0.231928835,0.24388727
0.620696559,0.23105447,0.243024222
0.623963476,0.230190572,0.242172324
0.627258264,0.229337112,0.241331548
0.630581049,0.228494056,0.240501868
0.633931954,0.227661376,0.239683259
0.637311104,0.226839041,0.238875696
0.640718624,0.226027023,0.238079156
0.644154641,0.225225292,0.237293615
0.647619279,0.224433822,0.236519051
0.651112663,0.223652585,0.235755443
0.654634921,0.222881556,0.235002771
0.658186177,0.222120708,0.234261016
0.661766558,0.221370018,0.233530159
0.66537619,0.220629462,0.232810181
0.669015198,0.219899016,0.232101067
0.672683708,0.219178658,0.231402801
0.676381847,0.218468367,0.230715367
0.680109739,0.217768122,0.230038752
0.683867511,0.217077903,0.229372942
0.687655288,0.21639769,0.228717926
0.691473195,0.215727466,0.228073693
0.695321357,0.215067213,0.227440231
0.699199897,0.214416914,0.226817533
0.703108941,0.213776553,0.22620559
0.707048613,0.213146116,0.225604395
0.711019034,0.212525588,0.225013943
0.715020329,0.211914956,0.224434227
0.71905262,0.211314208,0.223865244
0.723116028,0.210723332,0.223306991
0.727210674,0.210142318,0.222759467
0.731336679,0.209571155,0.22222267
0.735494162,0.209009836,0.221696602
0.739683243,0.208458351,0.221181263
0.74390404,0.207916695,0.220676656
0.748156669,0.207384861,0.220182786
0.752441247,0.206862844,0.219699657
0.756757889,0.20635064,0.219227275
0.76110671,0.205848246,0.218765648
0.765487822,0.20535566,0.218314784
0.769901338,0.204872881,0.217874694
0.774347368,0.204399908,0.217445388
0.778826021,0.203936743,0.217026878
0.783337407,0.203483387,0.216619179
0.787881631,0.203039843,0.216222305
0.792458799,0.202606116,0.215836272
0.797069013,0.20218221,0.215461098
0.801712378,0.201768132,0.215096802
0.806388992,0.201363889,0.214743404
0.811098954,0.200969489,0.214400926
0.815842361,0.200584942,0.21406939
0.820619308,0.200210258,0.213748822
0.825429887,0.199845449,0.213439247
0.83027419,0.199490528,0.213140693
0.835152304,0.199145509,0.212853188
0.840064317,0.198810407,0.212576762
0.845010312,0.198485239,0.212311449
0.849990371,0.198170023,0.21205728
0.855004573,0.197864777,0.211814292
0.860052995,0.197569521,0.21158252
0.865135711,0.197284278,0.211362004
0.87025279,0.197009069,0.211152782
0.875404303,0.196743919,0.210954896
0.880590314,0.196488852,0.21076839
0.885810885,0.196243896,0.210593308
0.891066075,0.196009079,0.210429698
0.896355941,0.19578443,0.210277606
0.901680534,0.195569979,0.210137084
0.907039903,0.19536576,0.210008184
0.912434094,0.195171804,0.209890959
0.917863148,0.194988148,0.209785466
0.923327103,0.194814827,0.209691761
0.928825992,0.19465188,0.209609904
0.934359845,0.194499346,0.209539957
0.939928689,0.194357266,0.209481984
0.945532543,0.194225682,0.209436049
0.951171424,0.194104639,0.20940222
0.956845346,0.193994182,0.209380567
0.962554314,0.193894357,0.209371161
0.968298331,0.193805215,0.209374077
0.974077396,0.193726805,0.20938939
0.979891499,0.193659179,0.209417179
0.985740629,0.193602392,0.209457525
0.991624767,0.193556499,0.209510509
0.997543888,0.193521556,0.209576217
1.003497963,0.193497624,0.209654736
1.009486957,0.193484762,0.209746156
1.015510827,0.193483034,0.209850571
1.021569525,0.193492504,0.209968073
1.027662997,0.193513237,0.21009876
1.033791182,0.193545303,0.210242733
1.039954011,0.193588772,0.210400093
1.046151411,0.193643714,0.210570946
1.052383299,0.193710206,0.210755398
1.058649586,0.193788321,0.210953561
1.064950176,0.193878139,0.211165548
1.071284963,0.193979739,0.211391474
1.077653835,0.194093204,0.211631458
1.084056673,0.194218618,0.211885622
1.090493346,0.194356067,0.21215409
1.096963719,0.19450564,0.212436989
1.103467644,0.194667427,0.212734451
1.110004967,0.194841522,0.213046609
1.116575524,0.195028019,0.2133736
1.123179141,0.195227017,0.213715564
1.129815635,0.195438615,0.214072643
1.136484812,0.195662915,0.214444984
1.143186471,0.195900022,0.214832737
1.149920397,0.196150043,0.215236056
1.156686366,0.196413087,0.215655096
1.163484143,0.196689267,0.216090018
1.170313482,0.196978696,0.216540985
1.177174127,0.197281493,0.217008164
1.184065807,0.197597776,0.217491727
1.190988242,0.197927667,0.217991848
1.197941139,0.198271293,0.218508705
1.204924192,0.198628779,0.21904248
1.211937084,0.199000257,0.21959336
1.218979482,0.19938586,0.220161534
1.226051043,0.199785724,0.220747196
1.233151408,0.200199987,0.221350545
1.240280205,0.20062879,0.221971782
1.247437049,0.20107228,0.222611114
1.254621537,0.201530602,0.223268751
1.261833255,0.202003907,0.223944909
1.269071772,0.20249235,0.224639806
1.276336642,0.202996085,0.225353667
1.283627402,0.203515274,0.226086719
1.290943575,0.204050078,0.226839195
1.298284666,0.204600664,0.227611332
1.305650164,0.205167201,0.228403374
1.313039539,0.205749861,0.229215566
1.320452247,0.206348819,0.23004816
1.327887723,0.206964255,0.230901413
1.335345384,0.20759635,0.231775586
1.342824631,0.208245291,0.232670945
1.350324844,0.208911267,0.233587763
1.357845383,0.209594469,0.234526316
1.36538559,0.210295093,0.235486886
1.372944787,0.21101334,0.23646976
1.380522274,0.211749412,0.23747523
1.388117331,0.212503516,0.238503595
1.395729217,0.213275862,0.239555157
1.40335717,0.214066662,0.240630227
1.411000404,0.214876136,0.241729117
1.418658113,0.215704504,0.242852149
1.426329466,0.216551991,0.243999648
1.434013611,0.217418824,0.245171945
1.44170967,0.218305237,0.246369378
1.449416744,0.219211466,0.24759229
1.457133906,0.220137749,0.248841031
1.464860208,0.221084332,0.250115954
1.472594674,0.22205146,0.251417422
1.480336303,0.223039386,0.252745801
1.488084069,0.224048364,0.254101464
1.495836919,0.225078654,0.255484792
1.503593772,0.226130517,0.256896168
1.511353522,0.227204221,0.258335986
1.519115034,0.228300036,0.259804643
1.526877146,0.229418237,0.261302544
1.534638665,0.230559101,0.262830098
1.542398372,0.23172291,0.264387722
1.550155017,0.232909951,0.265975841
1.557907323,0.234120512,0.267594882
1.56565398,0.235354887,0.269245283
1.573393649,0.236613373,0.270927485
1.581124961,0.237896272,0.272641937
1.588846514,0.239203887,0.274389093
1.596556876,0.240536526,0.276169415
1.604254583,0.241894502,0.27798337
1.61193814,0.24327813,0.279831433
1.619606018,0.244687728,0.281714082
1.627256655,0.246123619,0.283631804
1.634888457,0.247586128,0.285585092
1.642499797,0.249075584,0.287574443
1.650089014,0.25059232,0.289600362
1.657654412,0.25213667,0.291663359
1.665194263,0.253708972,0.293763951
1.672706804,0.255309568,0.295902658
1.680190237,0.256938801,0.29808001
1.687642729,0.258597019,0.300296537
1.695062413,0.26028457,0.302552779
1.702447386,0.262001806,0.304849279
1.709795712,0.26374908,0.307186586
1.717105419,0.265526749,0.309565254
1.724374497,0.267335171,0.311985839
1.731600905,0.269174704,0.314448906
1.738782563,0.27104571,0.31695502
1.74591736,0.272948552,0.319504753
1.753003145,0.274883593,0.32209868
1.760037735,0.276851198,0.324737379
1.767018911,0.278851732,0.327421432
1.77394442,0.280885561,0.330151422
1.780811974,0.28295305,0.332927938
1.78761925,0.285054566,0.335751568
1.794363891,0.287190473,0.338622904
1.801043509,0.289361136,0.341542539
1.807655678,0.29156692,0.344511067
1.814197943,0.293808185,0.347529082
1.820667816,0.296085292,0.350597179
1.827062775,0.2983986,0.353715954
1.833380269,0.300748465,0.356886
1.839617715,0.30313524,0.36010791
1.845772502,0.305559273,0.363382275
1.851841987,0.308020912,0.366709683
1.857823502,0.310520497,0.37009072
1.863714349,0.313058367,0.373525968
1.869511805,0.315634852,0.377016005
1.875213121,0.318250278,0.380561404
1.880815524,0.320904966,0.384162731
1.886316217,0.323599229,0.387820547
1.891712384,0.326333373,0.391535405
1.897001185,0.329107695,0.395307851
1.902179764,0.331922485,0.399138422
